epochs,batch_size,learning_rate,lambda_weight,loss_function,ari,hvg,asw,f1,nmi,sil,graph,pcr,sil_batch,avg_bio,avg_batch,time
30,512,0.0001,0.4,uniform,0.5997772828244187,0.235875,0.7509357,0.9808153477218226,0.8311883503369909,0.6984602,0.8793251558404459,0.4544408675018047,0.836837,0.6828419793145842,0.7235343390121853,315.15926909446716
30,512,1e-05,0.4,log,0.5997772828244187,0.35175,0.7375061,0.8911917098445595,0.8311883503369909,0.5840031,0.8186564529699654,0.2520353258040514,0.8456588,0.6659027542431875,0.6387835193061013,317.0974051952362
30,512,1e-05,0.4,uniform,0.5997772828244187,0.292875,0.6884125,0.8837209302325582,0.8311883503369909,0.6266924,0.8381056493712533,0.3711028323561403,0.8532246,0.6537777441974312,0.687477685748985,320.53014969825745
30,1024,0.0001,0.4,log,0.5997772828244187,0.28137500000000004,0.77367616,0.97708082026538,0.8311883503369909,0.6107936,0.8198409655105243,0.2641215091575065,0.8367149,0.6789818668283542,0.6402257993499454,260.9057500362396
30,1024,0.0001,0.4,uniform,0.5997772828244187,0.274625,0.7350524,0.9783653846153846,0.8311883503369909,0.6892153,0.9524097775610763,0.44068771907994236,0.84020287,0.6847039545053354,0.7444334548752635,261.601037979126
30,1024,1e-05,0.4,log,0.5997772828244187,0.350375,0.7308793,0.8514056224899599,0.8311883503369909,0.5708227,0.8086250240309599,0.24465994957899556,0.8462677,0.6557413797006433,0.6331842246017559,261.2548439502716
30,1024,1e-05,0.4,uniform,0.5997772828244187,0.307875,0.67995536,0.8166666666666667,0.8311883503369909,0.6094608,0.8223279202118308,0.36346335012209446,0.8533479,0.6408205723642547,0.679713055954509,261.65459156036377
40,64,0.0001,0.4,log,0.5997772828244187,0.202375,0.83421946,0.9892729439809297,0.8311883503369909,0.62625366,0.9859485877082923,0.3964706456217916,0.8049608,0.680514449559149,0.7291266735421263,1349.5307338237762
40,64,0.0001,0.4,uniform,0.5997772828244187,0.177125,0.7805553,0.9880952380952381,0.8311883503369909,0.7165249,0.9859439672245774,0.4363209337566781,0.8258825,0.6822110130212801,0.7493824651436237,1377.2393958568573
40,64,1e-05,0.4,log,0.5997772828244187,0.269125,0.7659762,0.9844311377245509,0.8311883503369909,0.6676211,0.8218005876902472,0.37692323659828286,0.8425483,0.6863531729266671,0.6804240450150711,1344.802963733673
40,64,1e-05,0.4,uniform,0.5997772828244187,0.2345,0.75800425,0.9832134292565947,0.8311883503369909,0.71075517,0.9236487293137385,0.3839295590543609,0.84441125,0.6862397466586465,0.7173298474324126,1380.2560830116272
40,128,0.0001,0.4,log,0.5997772828244187,0.20274999999999999,0.79836994,0.9892729439809297,0.8311883503369909,0.6974123,0.9854931068769799,0.46498829042969914,0.82464415,0.6864618055447904,0.7583751818854804,817.5830690860748
40,128,0.0001,0.4,uniform,0.5997772828244187,0.1635,0.7968023,0.9832134292565947,0.8311883503369909,0.7101221,0.9829359491922711,0.3673077049495952,0.81594515,0.6807672422018086,0.7220629342032946,841.3873467445374
